ICD3;Name_deutsch;Name_englisch;Cluster
N39;Sonstige Krankheiten des Harnsystems;Other disorders of urinary system;1
N40;Prostatahyperplasie;Enlarged prostate;1
N41;Entzündliche Krankheiten der Prostata;Inflammatory diseases of prostate;1
N42;Sonstige Krankheiten der Prostata;Other and unspecified disorders of prostate;1
N43;Hydrozele und Spermatozele;Hydrocele and spermatocele;0
N44;Hodentorsion und Hydatidentorsion;Noninflammatory disorders of testis;4
N45;Orchitis und Epididymitis;Orchitis and epididymitis;4
N46;Sterilität beim Mann;Male infertility;4
N47;Vorhauthypertrophie, Phimose und Paraphimose;Disorders of prepuce;0
N48;Sonstige Krankheiten des Penis;Other disorders of penis;0
N49;Entzündliche Krankheiten der männlichen Genitalorgane, anderenorts nichtklassifiziert;Inflammatory disorders of male genital organs, not elsewhere classified;4
N50;Sonstige Krankheiten der männlichen Genitalorgane;Other and unspecified disorders of male genital organs;4
N51;Krankheiten der männlichen Genitalorgane bei anderenorts klassifizierten Krankheiten;Disorders of male genital organs in diseases classified elsewhere;3
N52;;Male erectile dysfunction;
N53;;Other male sexual dysfunction;
N60;Gutartige Mammadysplasie [Brustdrüsendysplasie];Benign mammary dysplasia;3
N61;Entzündliche Krankheiten der Mamma [Brustdrüse];Inflammatory disorders of breast;5
N62;Hypertrophie der Mamma [Brustdrüse];Hypertrophy of breast;4
N63;Nicht näher bezeichnete Knoten in der Mamma [Brustdrüse];Unspecified lump in breast;0
N64;Sonstige Krankheiten der Mamma [Brustdrüse];Other disorders of breast;3
N65;;Deformity and disproportion of reconstructed breast;
N70;Salpingitis und Oophoritis;Salpingitis and oophoritis;3
N71;Entzündliche Krankheit des Uterus, ausgenommen der Zervix;Inflammatory disease of uterus, except cervix;5
N72;Entzündliche Krankheit der Cervix uteri;Inflammatory disease of cervix uteri;
N73;Sonstige entzündliche Krankheiten im weiblichen Becken;Other female pelvic inflammatory diseases;3
N74;Entzündung im weiblichen Becken bei anderenorts klassifizierten Krankheiten;Female pelvic inflammatory disorders in diseases classified elsewhere;4
N75;Krankheiten der Bartholin-Drüsen;Diseases of Bartholin's gland;4
N76;Sonstige entzündliche Krankheit der Vagina und Vulva;Other inflammation of vagina and vulva;5
N77;Vulvovaginale Ulzeration und Entzündung bei anderenorts klassifiziertenKrankheiten;Vulvovaginal ulceration and inflammation in diseases classified elsewhere;5
N80;Endometriose;Endometriosis;3
N81;Genitalprolaps bei der Frau;Female genital prolapse;3
N82;Fisteln mit Beteiligung des weiblichen Genitaltraktes;Fistulae involving female genital tract;4
N83;Nichtentzündliche Krankheiten des Ovars, der Tuba uterina und des Lig. latum uteri;Noninflammatory disorders of ovary, fallopian tube and broad ligament;5
N84;Polyp des weiblichen Genitaltraktes;Polyp of female genital tract;3
N85;Sonstige nichtentzündliche Krankheiten des Uterus, ausgenommen der Zervix;Other noninflammatory disorders of uterus, except cervix;3
N86;Erosion und Ektropium der Cervix uteri;Erosion and ectropion of cervix uteri;5
N87;Dysplasie der Cervix uteri;Dysplasia of cervix uteri;4
N88;Sonstige nichtentzündliche Krankheiten der Cervix uteri;Other noninflammatory disorders of cervix uteri;5
N89;Sonstige nichtentzündliche Krankheiten der Vagina;Other noninflammatory disorders of vagina;5
N90;Sonstige nichtentzündliche Krankheiten der Vulva und des Perineums;Other noninflammatory disorders of vulva and perineum;3
N91;Ausgebliebene, zu schwache oder zu seltene Menstruation;Absent, scanty and rare menstruation;5
N92;Zu starke, zu häufige oder unregelmäßige Menstruation;Excessive, frequent and irregular menstruation;5
N93;Sonstige abnorme Uterus- oder Vaginalblutung;Other abnormal uterine and vaginal bleeding;5
N94;Schmerz und andere Zustände im Zusammenhang mit den weiblichen Genitalorganen und dem Menstruationszyklus;Pain and other conditions associated with female genital organs and menstrual cycle;3
N95;Klimakterische Störungen;Menopausal and other perimenopausal disorders;3
N96;Neigung zu habituellem Abort;Recurrent pregnancy loss;5
N97;Sterilität der Frau;Female infertility;5
N98;Komplikationen im Zusammenhang mit künstlicher Befruchtung;Complications associated with artificial fertilization;5
N99;Krankheiten des Urogenitalsystems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert;Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified;3
O00;Extrauteringravidität;Ectopic pregnancy;5
O01;Blasenmole;Hydatidiform mole;
O02;Sonstige abnorme Konzeptionsprodukte;Other abnormal products of conception;5
O03;Spontanabort;Spontaneous abortion;5
O04;Ärztlich eingeleiteter Abort;Complications following (induced) termination of pregnancy;5
O05;Sonstiger Abort;Other abortion;
O06;Nicht näher bezeichneter Abort;Unspecified abortion;5
O07;Misslungene Aborteinleitung;Failed attempted termination of pregnancy;
O08;Komplikationen nach Abort, Extrauteringravidität und Molenschwangerschaft;Complications following ectopic and molar pregnancy;4
O09;Schwangerschaftsdauer;Supervision of high risk pregnancy;5
O10;Vorher bestehende Hypertonie, die Schwangerschaft, Geburt und Wochenbettkompliziert;Pre-existing hypertension complicating pregnancy, childbirth and the puerperium;5
O11;Vorher bestehende chronische Hypertonie mit aufgepfropfter Präeklampsie,die Schwangerschaft, Geburt und Wochenbett kompliziert;Pre-existing hypertension with pre-eclampsia;0
O12;Gestationsödeme und Gestationsproteinurie [schwangerschaftsinduziert] ohne Hypertonie;Gestational [pregnancy-induced] edema and proteinuria without hypertension;5
O13;Gestationshypertonie [schwangerschaftsinduzierte Hypertonie];Gestational [pregnancy-induced] hypertension without significant proteinuria;5
O14;Präeklampsie;Pre-eclampsia;5
O15;Eklampsie;Eclampsia;
O16;Nicht näher bezeichnete Hypertonie der Mutter;Unspecified maternal hypertension;0
O20;Blutung in der Frühschwangerschaft;Hemorrhage in early pregnancy;5
O21;Übermäßiges Erbrechen während der Schwangerschaft;Excessive vomiting in pregnancy;5
O22;Venenkrankheiten und Hämorrhoiden als Komplikationen in der Schwangerschaft;Venous complications and hemorrhoids in pregnancy;5
O23;Infektionen des Urogenitaltraktes in der Schwangerschaft;Infections of genitourinary tract in pregnancy;5
O24;Diabetes mellitus in der Schwangerschaft;Diabetes mellitus in pregnancy, childbirth, and the puerperium;5
O25;Fehl- und Mangelernährung in der Schwangerschaft;Malnutrition in pregnancy, childbirth and the puerperium;
O26;Betreuung der Mutter bei sonstigen Zuständen, die vorwiegend mit der Schwangerschaft verbunden sind;Maternal care for other conditions predominantly related to pregnancy;5
O28;Abnorme Befunde bei der Screeninguntersuchung der Mutter zur pränatalenDiagnostik;Abnormal findings on antenatal screening of mother;5
O29;Komplikationen bei Anästhesie in der Schwangerschaft;Complications of anesthesia during pregnancy;
O30;Mehrlingsschwangerschaft;Multiple gestation;5
O31;Komplikationen, die für eine Mehrlingsschwangerschaft spezifisch sind;Complications specific to multiple gestation;
O32;Betreuung der Mutter bei festgestellter oder vermuteter Lage- und Einstellungsanomalie des Feten;Maternal care for malpresentation of fetus;5
O33;Betreuung der Mutter bei festgestelltem oder vermutetem Missverhältnis zwischen Fetus und Becken;Maternal care for disproportion;5
O34;Betreuung der Mutter bei festgestellter oder vermuteter Anomalie der Beckenorgane;Maternal care for abnormality of pelvic organs;5
O35;Betreuung der Mutter bei festgestellter oder vermuteter Anomalie oder Schädigung des Feten;Maternal care for known or suspected fetal abnormality and damage;5
O36;Betreuung der Mutter wegen sonstiger festgestellter oder vermuteter Komplikationen beim Feten;Maternal care for other fetal problems;5
O40;Polyhydramnion;Polyhydramnios;5
O41;Sonstige Veränderungen des Fruchtwassers und der Eihäute;Other disorders of amniotic fluid and membranes;5
O42;Vorzeitiger Blasensprung;Premature rupture of membranes;5
O43;Pathologische Zustände der Plazenta;Placental disorders;5
O44;Placenta praevia;Placenta previa;5
O45;Vorzeitige Plazentalösung [Abruptio placentae];Premature separation of placenta [abruptio placentae];0
O46;Präpartale Blutung, anderenorts nicht klassifiziert;Antepartum hemorrhage, not elsewhere classified;5
O47;Frustrane Kontraktionen [Unnütze Wehen];False labor;5
O48;Übertragene Schwangerschaft;Late pregnancy;5
O60;Vorzeitige Wehen und Entbindung;Preterm labor;5
O61;Misslungene Geburtseinleitung;Failed induction of labor;5
O62;Abnorme Wehentätigkeit;Abnormalities of forces of labor;5
O63;Protrahierte Geburt;Long labor;5
O64;Geburtshindernis durch Lage-, Haltungs- und Einstellungsanomalien des Feten;Obstructed labor due to malposition and malpresentation of fetus;5
O65;Geburtshindernis durch Anomalie des mütterlichen Beckens;Obstructed labor due to maternal pelvic abnormality;5
O66;Sonstiges Geburtshindernis;Other obstructed labor;5
O67;Komplikationen bei Wehen und Entbindung durch intrapartale Blutung, anderenorts nicht klassifiziert;Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified;2
O68;Komplikationen bei Wehen und Entbindung durch fetalen Distress [fetal distress] [fetaler Gefahrenzustand];Labor and delivery complicated by abnormality of fetal acid-base balance;5
O69;Komplikationen bei Wehen und Entbindung durch Nabelschnurkomplikationen;Labor and delivery complicated by umbilical cord complications;5
O70;Dammriss unter der Geburt;Perineal laceration during delivery;5
O71;Sonstige Verletzungen unter der Geburt;Other obstetric trauma;5
O72;Postpartale Blutung;Postpartum hemorrhage;5
O73;Retention der Plazenta und der Eihäute ohne Blutung;Retained placenta and membranes, without hemorrhage;5
O74;Komplikationen bei Anästhesie während der Wehentätigkeit und bei der Entbindung;Complications of anesthesia during labor and delivery;5
O75;Sonstige Komplikationen bei Wehentätigkeit und Entbindung, anderenorts nicht klassifiziert;Other complications of labor and delivery, not elsewhere classified;5
O76;;Abnormality in fetal heart rate and rhythm complicating labor and delivery;
O77;;Other fetal stress complicating labor and delivery;
O80;Spontangeburt eines Einlings;Encounter for full-term uncomplicated delivery;5
O81;Geburt eines Einlings durch Zangen- oder Vakuumextraktion;Single delivery by forceps and vacuum extractor;4
O82;Geburt eines Einlings durch Schnittentbindung [Sectio caesarea];Encounter for cesarean delivery without indication;5
O85;Puerperalfieber;Puerperal sepsis;3
O86;Sonstige Wochenbettinfektionen;Other puerperal infections;5
O87;Venenkrankheiten und Hämorrhoiden als Komplikationen im Wochenbett;Venous complications and hemorrhoids in the puerperium;5
O88;Embolie während der Gestationsperiode;Obstetric embolism;
O89;Komplikationen bei Anästhesie im Wochenbett;Complications of anesthesia during the puerperium;
O90;Wochenbettkomplikationen, anderenorts nicht klassifiziert;Complications of the puerperium, not elsewhere classified;5
O91;Infektionen der Mamma [Brustdrüse] im Zusammenhang mit der Gestation;Infections of breast associated with pregnancy, the puerperium and lactation;5
O92;Sonstige Krankheiten der Mamma [Brustdrüse] im Zusammenhang mit der Gestation und Laktationsstörungen;Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium;5
O94;Folgen von Komplikationen während Schwangerschaft, Geburt und Wochenbett;Sequelae of complication of pregnancy, childbirth, and the puerperium;
O95;Sterbefall während der Gestationsperiode nicht näher bezeichneter Ursache;Obstetric death of unspecified cause;
O96;Tod infolge jeder gestationsbedingten Ursache nach mehr als 42 Tagen bisunter einem Jahr nach der Entbindung;Death from any obstetric cause occurring more than 42 days but less than one year after delivery;
O97;Tod an den Folgen gestationsbedingter Ursachen;Death from sequelae of direct obstetric causes;
O98;Infektiöse und parasitäre Krankheiten der Mutter, die anderenorts klassifizierbar sind, die jedoch Schwangerschaft, Geburt und Wochenbett komplizieren;Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium;5
O99;Sonstige Krankheiten der Mutter, die anderenorts klassifizierbar sind, die jedoch Schwangerschaft, Geburt und Wochenbett komplizieren;Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium;5
O9A;;Maternal malignant neoplasms, traumatic injuries and abuse classifiable elsewhere but complicating pregnancy, childbirth and the puerperium;
P00;Schädigung des Feten und Neugeborenen durch Zustände der Mutter, die zurvorliegenden Schwangerschaft keine Beziehung haben müssen;Newborn (suspected to be) affected by maternal conditions that may be unrelated to present pregnancy;0
P01;Schädigung des Feten und Neugeborenen durch mütterliche Schwangerschaftskomplikationen;Newborn (suspected to be) affected by maternal complications of pregnancy;3
P02;Schädigung des Feten und Neugeborenen durch Komplikationen von Plazenta,Nabelschnur und Eihäuten;Newborn (suspected to be) affected by complications of placenta, cord and membranes;0
P03;Schädigung des Feten und Neugeborenen durch sonstige Komplikationen beiWehen und Entbindung;Newborn (suspected to be) affected by other complications of labor and delivery;0
P04;Schädigung des Feten und Neugeborenen durch Noxen, die transplazentar oder mit der Muttermilch übertragen werden;Newborn (suspected to be) affected by noxious substances transmitted via placenta or breast milk;
P05;Intrauterine Mangelentwicklung und fetale Mangelernährung;Disorders of newborn related to slow fetal growth and fetal malnutrition;5
P07;Störungen im Zusammenhang mit kurzer Schwangerschaftsdauer und niedrigemGeburtsgewicht, anderenorts nicht klassifiziert;Disorders of newborn related to short gestation and low birth weight, not elsewhere classified;5
P08;Störungen im Zusammenhang mit langer Schwangerschaftsdauer und hohem Geburtsgewicht;Disorders of newborn related to long gestation and high birth weight;5
P09;;Abnormal findings on neonatal screening;
P10;Intrakranielle Verletzung und Blutung durch Geburtsverletzung;Intracranial laceration and hemorrhage due to birth injury;
P11;Sonstige Geburtsverletzungen des Zentralnervensystems;Other birth injuries to central nervous system;
P12;Geburtsverletzung der behaarten Kopfhaut;Birth injury to scalp;
P13;Geburtsverletzung des Skeletts;Birth injury to skeleton;0
P14;Geburtsverletzung des peripheren Nervensystems;Birth injury to peripheral nervous system;0
P15;Sonstige Geburtsverletzungen;Other birth injuries;
P19;;Metabolic acidemia in newborn;
P20;Intrauterine Hypoxie;Intrauterine hypoxia;4
P21;Asphyxie unter der Geburt;Birth asphyxia;0
P22;Atemnot [Respiratory distress] beim Neugeborenen;Respiratory distress of newborn;0
P23;Angeborene Pneumonie;Congenital pneumonia;
P24;Aspirationssyndrome beim Neugeborenen;Neonatal aspiration;
P25;Interstitielles Emphysem und verwandte Zustände mit Ursprung in der Perinatalperiode;Interstitial emphysema and related conditions originating in the perinatal period;
P26;Lungenblutung mit Ursprung in der Perinatalperiode;Pulmonary hemorrhage originating in the perinatal period;
P27;Chronische Atemwegskrankheit mit Ursprung in der Perinatalperiode;Chronic respiratory disease originating in the perinatal period;4
P28;Sonstige Störungen der Atmung mit Ursprung in der Perinatalperiode;Other respiratory conditions originating in the perinatal period;4
P29;Kardiovaskuläre Krankheiten mit Ursprung in der Perinatalperiode;Cardiovascular disorders originating in the perinatal period;0
P35;Angeborene Viruskrankheiten;Congenital viral diseases;3
P36;Bakterielle Sepsis beim Neugeborenen;Bacterial sepsis of newborn;
P37;Sonstige angeborene infektiöse und parasitäre Krankheiten;Other congenital infectious and parasitic diseases;
P38;Omphalitis beim Neugeborenen mit oder ohne leichte Blutung;Omphalitis of newborn;
P39;Sonstige Infektionen, die für die Perinatalperiode spezifisch sind;Other infections specific to the perinatal period;0
P50;Fetaler Blutverlust;Newborn affected by intrauterine (fetal) blood loss;
P51;Nabelblutung beim Neugeborenen;Umbilical hemorrhage of newborn;3
P52;Intrakranielle nichttraumatische Blutung beim Feten und Neugeborenen;Intracranial nontraumatic hemorrhage of newborn;4
P53;Hämorrhagische Krankheit beim Feten und Neugeborenen;Hemorrhagic disease of newborn;
P54;Sonstige Blutungen beim Neugeborenen;Other neonatal hemorrhages;
P55;Hämolytische Krankheit beim Feten und Neugeborenen;Hemolytic disease of newborn;
P56;Hydrops fetalis durch hämolytische Krankheit;Hydrops fetalis due to hemolytic disease;
P57;Kernikterus;Kernicterus;
P58;Neugeborenenikterus durch sonstige gesteigerte Hämolyse;Neonatal jaundice due to other excessive hemolysis;
P59;Neugeborenenikterus durch sonstige und nicht näher bezeichnete Ursachen;Neonatal jaundice from other and unspecified causes;4
P60;Disseminierte intravasale Gerinnung beim Feten und Neugeborenen;Disseminated intravascular coagulation of newborn;
P61;Sonstige hämatologische Krankheiten in der Perinatalperiode;Other perinatal hematological disorders;3
P70;Transitorische Störungen des Kohlenhydratstoffwechsels, die für den Feten und das Neugeborene spezifisch sind;Transitory disorders of carbohydrate metabolism specific to newborn;5
P71;Transitorische Störungen des Kalzium- und Magnesiumstoffwechsels beim Neugeborenen;Transitory neonatal disorders of calcium and magnesium metabolism;
P72;Sonstige transitorische endokrine Krankheiten beim Neugeborenen;Other transitory neonatal endocrine disorders;
P74;Sonstige transitorische Störungen des Elektrolythaushaltes und des Stoffwechsels beim Neugeborenen;Other transitory neonatal electrolyte and metabolic disturbances;
P75;Mekoniumileus bei zystischer Fibrose (E84.1†);Meconium ileus ( E84.1+ );
P76;Sonstiger Darmverschluss beim Neugeborenen;Other intestinal obstruction of newborn;
P77;Enterocolitis necroticans beim Feten und Neugeborenen;Necrotizing enterocolitis of newborn;0
P78;Sonstige Krankheiten des Verdauungssystems in der Perinatalperiode;Other perinatal digestive system disorders;
P80;Hypothermie beim Neugeborenen;Hypothermia of newborn;
P81;Sonstige Störungen der Temperaturregulation beim Neugeborenen;Other disturbances of temperature regulation of newborn;0
P83;Sonstige Krankheitszustände mit Beteiligung der Haut, die für den Fetenund das Neugeborene spezifisch sind;Other conditions of integument specific to newborn;
P84;;Other problems with newborn;
P90;Krämpfe beim Neugeborenen;Convulsions of newborn;0
P91;Sonstige zerebrale Störungen beim Neugeborenen;Other disturbances of cerebral status of newborn;4
P92;Ernährungsprobleme beim Neugeborenen;Feeding problems of newborn;4
P93;Reaktionen und Intoxikationen durch Arzneimittel oder Drogen, die dem Feten und Neugeborenen verabreicht wurden;Reactions and intoxications due to drugs administered to newborn;
P94;Störungen des Muskeltonus beim Neugeborenen;Disorders of muscle tone of newborn;4
P95;Fetaltod nicht näher bezeichneter Ursache;Stillbirth;0
P96;Sonstige Zustände, die ihren Ursprung in der Perinatalperiode haben;Other conditions originating in the perinatal period;4
Q00;Anenzephalie und ähnliche Fehlbildungen;Anencephaly and similar malformations;3
Q01;Enzephalozele;Encephalocele;3
Q02;Mikrozephalie;Microcephaly;0
Q03;Angeborener Hydrozephalus;Congenital hydrocephalus;4
Q04;Sonstige angeborene Fehlbildungen des Gehirns;Other congenital malformations of brain;4
Q05;Spina bifida;Spina bifida;4
Q06;Sonstige angeborene Fehlbildungen des Rückenmarks;Other congenital malformations of spinal cord;4
Q07;Sonstige angeborene Fehlbildungen des Nervensystems;Other congenital malformations of nervous system;4
Q10;Angeborene Fehlbildungen des Augenlides, des Tränenapparates und der Orbita;Congenital malformations of eyelid, lacrimal apparatus and orbit;0
Q11;Anophthalmus, Mikrophthalmus und Makrophthalmus;Anophthalmos, microphthalmos and macrophthalmos;4
Q12;Angeborene Fehlbildungen der Linse;Congenital lens malformations;4
Q13;Angeborene Fehlbildungen des vorderen Augenabschnittes;Congenital malformations of anterior segment of eye;3
Q14;Angeborene Fehlbildung des hinteren Augenabschnittes;Congenital malformations of posterior segment of eye;4
Q15;Sonstige angeborene Fehlbildungen des Auges;Other congenital malformations of eye;4
Q16;Angeborene Fehlbildungen des Ohres, die eine Beeinträchtigung des Hörvermögens verursachen;Congenital malformations of ear causing impairment of hearing;1
Q17;Sonstige angeborene Fehlbildungen des Ohres;Other congenital malformations of ear;0
Q18;Sonstige angeborene Fehlbildungen des Gesichtes und des Halses;Other congenital malformations of face and neck;4
Q20;Angeborene Fehlbildungen der Herzhöhlen und verbindender Strukturen;Congenital malformations of cardiac chambers and connections;4
Q21;Angeborene Fehlbildungen der Herzsepten;Congenital malformations of cardiac septa;4
Q22;Angeborene Fehlbildungen der Pulmonal- und der Trikuspidalklappe;Congenital malformations of pulmonary and tricuspid valves;4
Q23;Angeborene Fehlbildungen der Aorten- und der Mitralklappe;Congenital malformations of aortic and mitral valves;0
Q24;Sonstige angeborene Fehlbildungen des Herzens;Other congenital malformations of heart;4
Q25;Angeborene Fehlbildungen der großen Arterien;Congenital malformations of great arteries;4
Q26;Angeborene Fehlbildungen der großen Venen;Congenital malformations of great veins;4
Q27;Sonstige angeborene Fehlbildungen des peripheren Gefäßsystems;Other congenital malformations of peripheral vascular system;4
Q28;Sonstige angeborene Fehlbildungen des Kreislaufsystems;Other congenital malformations of circulatory system;1
Q30;Angeborene Fehlbildungen der Nase;Congenital malformations of nose;4
Q31;Angeborene Fehlbildungen des Kehlkopfes;Congenital malformations of larynx;0
Q32;Angeborene Fehlbildungen der Trachea und der Bronchien;Congenital malformations of trachea and bronchus;1
Q33;Angeborene Fehlbildungen der Lunge;Congenital malformations of lung;4
Q34;Sonstige angeborene Fehlbildungen des Atmungssystems;Other congenital malformations of respiratory system;0
Q35;Gaumenspalte;Cleft palate;0
Q36;Lippenspalte;Cleft lip;0
Q37;Gaumenspalte mit Lippenspalte;Cleft palate with cleft lip;0
Q38;Sonstige angeborene Fehlbildungen der Zunge, des Mundes und des Rachens;Other congenital malformations of tongue, mouth and pharynx;4
Q39;Angeborene Fehlbildungen des Ösophagus;Congenital malformations of esophagus;4
Q40;Sonstige angeborene Fehlbildungen des oberen Verdauungstraktes;Other congenital malformations of upper alimentary tract;4
Q41;Angeborene(s) Fehlen, Atresie und Stenose des Dünndarmes;Congenital absence, atresia and stenosis of small intestine;0
Q42;Angeborene(s) Fehlen, Atresie und Stenose des Dickdarmes;Congenital absence, atresia and stenosis of large intestine;1
Q43;Sonstige angeborene Fehlbildungen des Darmes;Other congenital malformations of intestine;4
Q44;Angeborene Fehlbildungen der Gallenblase, der Gallengänge und der Leber;Congenital malformations of gallbladder, bile ducts and liver;4
Q45;Sonstige angeborene Fehlbildungen des Verdauungssystems;Other congenital malformations of digestive system;4
Q50;Angeborene Fehlbildungen der Ovarien, der Tubae uterinae und der Ligg. lata uteri;Congenital malformations of ovaries, fallopian tubes and broad ligaments;0
Q51;Angeborene Fehlbildungen des Uterus und der Cervix uteri;Congenital malformations of uterus and cervix;1
Q52;Sonstige angeborene Fehlbildungen der weiblichen Genitalorgane;Other congenital malformations of female genitalia;0
Q53;Nondescensus testis;Undescended and ectopic testicle;0
Q54;Hypospadie;Hypospadias;0
Q55;Sonstige angeborene Fehlbildungen der männlichen Genitalorgane;Other congenital malformations of male genital organs;0
Q56;Unbestimmtes Geschlecht und Pseudohermaphroditismus;Indeterminate sex and pseudohermaphroditism;0
Q60;Nierenagenesie und sonstige Reduktionsdefekte der Niere;Renal agenesis and other reduction defects of kidney;4
Q61;Zystische Nierenkrankheit;Cystic kidney disease;1
Q62;Angeborene obstruktive Defekte des Nierenbeckens und angeborene Fehlbildungen des Ureters;Congenital obstructive defects of renal pelvis and congenital malformations of ureter;4
Q63;Sonstige angeborene Fehlbildungen der Niere;Other congenital malformations of kidney;4
Q64;Sonstige angeborene Fehlbildungen des Harnsystems;Other congenital malformations of urinary system;4
Q65;Angeborene Deformitäten der Hüfte;Congenital deformities of hip;4
Q66;Angeborene Deformitäten der Füße;Congenital deformities of feet;3
Q67;Angeborene Muskel-Skelett-Deformitäten des Kopfes, des Gesichtes, der Wirbelsäule und des Thorax;Congenital musculoskeletal deformities of head, face, spine and chest;0
Q68;Sonstige angeborene Muskel-Skelett-Deformitäten;Other congenital musculoskeletal deformities;4
Q69;Polydaktylie;Polydactyly;3
Q70;Syndaktylie;Syndactyly;4
Q71;Reduktionsdefekte der oberen Extremität;Reduction defects of upper limb;0
Q72;Reduktionsdefekte der unteren Extremität;Reduction defects of lower limb;4
Q73;Reduktionsdefekte nicht näher bezeichneter Extremität(en);Reduction defects of unspecified limb;4
Q74;Sonstige angeborene Fehlbildungen der Extremität(en);Other congenital malformations of limb(s);0
Q75;Sonstige angeborene Fehlbildungen der Schädel- und Gesichtsschädelknochen;Other congenital malformations of skull and face bones;0
Q76;Angeborene Fehlbildungen der Wirbelsäule und des knöchernen Thorax;Congenital malformations of spine and bony thorax;4
Q77;Osteochondrodysplasie mit Wachstumsstörungen der Röhrenknochen und der Wirbelsäule;Osteochondrodysplasia with defects of growth of tubular bones and spine;0
Q78;Sonstige Osteochondrodysplasien;Other osteochondrodysplasias;4
Q79;Angeborene Fehlbildungen des Muskel-Skelett-Systems, anderenorts nicht klassifiziert;Congenital malformations of musculoskeletal system, not elsewhere classified;4
Q80;Ichthyosis congenita;Congenital ichthyosis;4
Q81;Epidermolysis bullosa;Epidermolysis bullosa;4
Q82;Sonstige angeborene Fehlbildungen der Haut;Other congenital malformations of skin;4
Q83;Angeborene Fehlbildungen der Mamma [Brustdrüse];Congenital malformations of breast;4
Q84;Sonstige angeborene Fehlbildungen des Integumentes;Other congenital malformations of integument;4
Q85;Phakomatosen, anderenorts nicht klassifiziert;Phakomatoses, not elsewhere classified;4
Q86;Angeborene Fehlbildungssyndrome durch bekannte äußere Ursachen, anderenorts nicht klassifiziert;Congenital malformation syndromes due to known exogenous causes, not elsewhere classified;0
Q87;Sonstige näher bezeichnete angeborene Fehlbildungssyndrome mit Beteiligung mehrerer Systeme;Other specified congenital malformation syndromes affecting multiple systems;4
Q89;Sonstige angeborene Fehlbildungen, anderenorts nicht klassifiziert;Other congenital malformations, not elsewhere classified;4
Q90;Down-Syndrom;Down syndrome;4
Q91;Edwards-Syndrom und Patau-Syndrom;Trisomy 18 and Trisomy 13;3
Q92;Sonstige Trisomien und partielle Trisomien der Autosomen, anderenorts nicht klassifiziert;Other trisomies and partial trisomies of the autosomes, not elsewhere classified;4
Q93;Monosomien und Deletionen der Autosomen, anderenorts nicht klassifiziert;Monosomies and deletions from the autosomes, not elsewhere classified;0
Q95;Balancierte Chromosomen-Rearrangements und Struktur-Marker, anderenortsnicht klassifiziert;Balanced rearrangements and structural markers, not elsewhere classified;0
Q96;Turner-Syndrom;Turner's syndrome;4
Q97;Sonstige Anomalien der Gonosomen bei weiblichem Phänotyp, anderenorts nicht klassifiziert;Other sex chromosome abnormalities, female phenotype, not elsewhere classified;
Q98;Sonstige Anomalien der Gonosomen bei männlichem Phänotyp, anderenorts nicht klassifiziert;Other sex chromosome abnormalities, male phenotype, not elsewhere classified;4
Q99;Sonstige Chromosomenanomalien, anderenorts nicht klassifiziert;Other chromosome abnormalities, not elsewhere classified;4
R00;Störungen des Herzschlages;Abnormalities of heart beat;1
R01;Herzgeräusche und andere Herz-Schallphänomene;Cardiac murmurs and other cardiac sounds;0
R02;Gangrän, anderenorts nicht klassifiziert;Gangrene, not elsewhere classified;0
R03;Abnormer Blutdruckwert ohne Diagnose;Abnormal blood-pressure reading, without diagnosis;0
R04;Blutung aus den Atemwegen;Hemorrhage from respiratory passages;1
R05;Husten;Cough;0
R06;Störungen der Atmung;Abnormalities of breathing;0
R07;Hals- und Brustschmerzen;Pain in throat and chest;3
R09;Sonstige Symptome, die das Kreislaufsystem und das Atmungssystem betreffen;Other symptoms and signs involving the circulatory and respiratory system;1
R10;Bauch- und Beckenschmerzen;Abdominal and pelvic pain;3
R11;Übelkeit und Erbrechen;Nausea and vomiting;0
R12;Sodbrennen;Heartburn;3
R13;Dysphagie;Aphagia and dysphagia;1
R14;Flatulenz und verwandte Zustände;Flatulence and related conditions;3
R15;Stuhlinkontinenz;Fecal incontinence;1
R16;Hepatomegalie und Splenomegalie, anderenorts nicht klassifiziert;Hepatomegaly and splenomegaly, not elsewhere classified;4
R17;Gelbsucht, nicht näher bezeichnet;Unspecified jaundice;4
R18;Aszites;Ascites;4
R19;Sonstige Symptome, die das Verdauungssystem und das Abdomen betreffen;Other symptoms and signs involving the digestive system and abdomen;4
R20;Sensibilitätsstörungen der Haut;Disturbances of skin sensation;3
R21;Hautausschlag und sonstige unspezifische Hauteruptionen;Rash and other nonspecific skin eruption;0
R22;Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut;Localized swelling, mass and lump of skin and subcutaneous tissue;4
R23;Sonstige Hautveränderungen;Other skin changes;4
R25;Abnorme unwillkürliche Bewegungen;Abnormal involuntary movements;3
R26;Störungen des Ganges und der Mobilität;Abnormalities of gait and mobility;1
R27;Sonstige Koordinationsstörungen;Other lack of coordination;4
